ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778176629620,2600570880,61464576,812838912,290889728,853540864,1073737728,854647,47751,6,5403092,54322,0,3852735,3469,875159040,48897024,5055121,1691484,9,2,0,0,0,70140,125287
1778176629940,2624471040,61464576,812810240,291389440,829579264,1073737728,854647,47751,6,5412852,54462,0,3856100,3469,875159040,48897024,5057161,1691912,9,2,0,0,0,70261,125153
1778176630230,2624212992,61464576,812810240,291389440,829882368,1073737728,854647,47751,6,5414481,54462,0,3856195,3469,875159040,48897024,5057333,1692040,9,2,0,0,0,70261,125153
1778176630525,2624212992,61464576,812810240,291389440,826974208,1073737728,854647,47751,6,5419125,54463,0,3859158,3469,875159040,48897024,5057911,1692168,9,2,0,0,0,70261,125153
1778176630820,2623967232,61464576,812810240,291508224,825221120,1073737728,854647,47751,6,5424127,54465,0,3863418,3469,875159040,48897024,5059305,1692328,9,2,0,0,0,70290,125124
1778176631114,2622418944,61464576,812810240,291508224,833556480,1073737728,854647,47751,6,5426168,54468,0,3865909,3469,875159040,48897024,5059863,1692448,9,2,0,0,0,70290,125124
1778176631406,2619064320,61464576,812810240,291508224,837193728,1073737728,854647,47751,6,5427907,54468,0,3867030,3469,875159040,48897024,5059981,1692576,9,2,0,0,0,70290,125124
1778176631695,2616999936,61476864,812802048,291586048,842813440,1073737728,854647,47963,6,5429583,54484,0,3868590,3469,875159040,49114112,5060207,1692704,9,2,0,0,0,70310,125105
1778176631987,2608496640,61476864,812818432,291610624,850690048,1073737728,854647,47963,6,5431891,54491,0,3871531,3469,875159040,49114112,5061371,1692952,9,2,0,0,0,70314,125104
1778176632281,2607206400,61476864,812818432,291610624,852205568,1073737728,854647,47963,6,5433595,54491,0,3872010,3469,875159040,49114112,5061543,1693080,9,2,0,0,0,70314,125104
1778176632575,2599206912,61476864,813436928,291627008,859480064,1073737728,854647,47963,6,5435246,54493,0,3874093,3469,875159040,49114112,5085107,1715024,9,2,0,0,0,70316,125103
1778176632868,2598690816,61476864,813436928,291647488,860151808,1073737728,854647,47963,6,5436940,54493,0,3874357,3469,875159040,49114112,5088711,1717484,9,2,0,0,0,70321,125098
1778176633162,2598432768,61476864,813436928,291647488,860233728,1073737728,854647,47963,6,5439037,54493,0,3875034,3469,875159040,49114112,5090905,1718532,9,2,0,0,0,70321,125098
1778176633456,2598432768,61476864,813436928,291647488,860233728,1073737728,854647,47963,6,5440676,54493,0,3875036,3469,875159040,49114112,5091775,1719324,9,2,0,0,0,70321,125098
1778176633751,2598432768,61476864,813436928,291647488,860258304,1073737728,854647,47963,6,5442321,54493,0,3875036,3469,875159040,49122304,5091947,1719452,9,2,0,0,0,70321,125098
1778176634044,2588110848,61476864,813436928,291647488,870305792,1073737728,854647,47971,6,5444465,54493,0,3878330,3469,875159040,49122304,5093267,1719828,9,2,0,0,0,70321,125098
1778176634338,2558836736,61476864,813436928,291647488,891822080,1073737728,854647,47971,6,5454805,54493,0,3893247,3469,875159040,49122304,5094205,1720172,9,2,0,0,0,70321,125098
1778176634632,2543730688,61480960,813441024,291659776,915456000,1073737728,854647,48091,6,5456467,54495,0,3899620,3469,875159040,49245184,5094377,1720252,9,2,0,0,0,70324,125096
1778176634930,2532425728,61480960,813441024,291721216,922636288,1073737728,854647,48091,6,5462296,54527,0,3906491,3469,875159040,49245184,5095495,1721292,9,2,0,0,0,70338,125082
1778176635225,2519748608,61480960,813338624,291794944,935428096,1073737728,854647,48091,6,5465688,54530,0,3912949,3469,875159040,49245184,5096985,1721492,9,2,0,0,0,70356,125023
1778176635519,2516135936,61480960,813338624,291803136,942460928,1073737728,854647,48091,6,5467355,54530,0,3915554,3469,875159040,49245184,5097259,1721748,9,2,0,0,0,70358,125021
1778176635816,2516135936,61480960,813367296,291807232,942567424,1073737728,854647,48091,6,5469021,54530,0,3915555,3469,875159040,49245184,5098529,1722492,9,2,0,0,0,70358,125022
1778176636113,2515890176,61480960,813367296,291803136,942477312,1073737728,854647,48091,6,5471071,54530,0,3915970,3469,875159040,49245184,5099863,1723188,9,2,0,0,0,70358,125022
1778176636408,2515890176,61480960,813367296,291803136,942477312,1073737728,854647,48091,6,5472729,54530,0,3915970,3469,875159040,49245184,5100061,1723228,9,2,0,0,0,70358,125022
1778176636704,2515890176,61493248,813367296,291803136,942477312,1073737728,854647,48187,6,5474392,54530,0,3915972,3469,875159040,49343488,5100393,1723308,9,2,0,0,0,70358,125022
1778176637000,2515890176,61493248,813367296,291799040,942223360,1073737728,854647,48187,6,5476049,54530,0,3915974,3469,875159040,49343488,5100591,1723348,9,2,0,0,0,70358,125023
1778176637295,2515890176,61493248,813371392,291799040,942223360,1073737728,854647,48187,6,5477706,54530,0,3915974,3469,875159040,49343488,5100805,1723388,9,2,0,0,0,70358,125023
1778176637591,2515890176,61493248,813371392,291799040,942223360,1073737728,854647,48187,6,5479364,54530,0,3915975,3469,875159040,49343488,5101159,1723564,9,2,0,0,0,70358,125023
1778176637882,2515890176,61493248,813371392,291799040,942223360,1073737728,854647,48187,6,5481021,54530,0,3915977,3469,875159040,49343488,5101357,1723604,9,2,0,0,0,70358,125023
1778176638179,2515890176,61493248,813371392,291799040,942223360,1073737728,854647,48187,6,5482679,54530,0,3915977,3469,875159040,49343488,5101555,1723644,9,2,0,0,0,70358,125023
1778176638470,2515890176,61493248,813371392,291799040,942223360,1073737728,854647,48187,6,5484336,54530,0,3915978,3469,875159040,49343488,5101753,1723684,9,2,0,0,0,70358,125023
1778176638766,2515890176,61493248,813371392,291799040,942223360,1073737728,854647,48187,6,5485993,54530,0,3915981,3469,875159040,49343488,5101951,1723724,9,2,0,0,0,70358,125023
1778176639063,2515890176,61493248,813371392,291799040,942231552,1073737728,854647,48203,6,5487651,54530,0,3915982,3469,875159040,49359872,5104025,1724996,9,2,0,0,0,70358,125024
1778176639359,2515890176,61493248,813371392,291799040,942231552,1073737728,854647,48203,6,5489308,54530,0,3915983,3469,875159040,49359872,5104239,1725036,9,2,0,0,0,70358,125024
1778176639654,2515890176,61493248,813371392,291799040,942231552,1073737728,854647,48203,6,5490968,54530,0,3915985,3469,875159040,49413120,5104657,1725212,9,2,0,0,0,70358,125024
1778176639949,2515890176,61493248,813375488,291799040,942231552,1073737728,854647,48255,6,5492624,54530,0,3915998,3469,875159040,49413120,5104855,1725252,9,2,0,0,0,70358,125024
1778176640243,2515890176,61493248,813375488,291799040,942231552,1073737728,854647,48263,6,5494280,54530,0,3915998,3469,875159040,49421312,5105053,1725292,9,2,0,0,0,70358,125024
