ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778298518246,2785435648,51822592,639512576,225951744,752050176,1073737728,725042,30451,6,1259900,46543,0,523487,3008,742443520,31181824,108833,53648,7,2,0,0,0,54291,100644
1778298518550,2779807744,51822592,641077248,225980416,760315904,1073737728,725042,30451,6,1261663,46544,0,525625,3008,742455808,31181824,109337,53728,7,2,0,0,0,54297,100662
1778298518841,2779549696,51830784,641126400,226037760,761671680,1073737728,725054,30451,6,1263262,46544,0,525986,3008,742455808,31181824,109809,53848,7,2,0,0,0,54311,100652
1778298519129,2779549696,51830784,641134592,226041856,762048512,1073737728,725054,30451,6,1264860,46544,0,526103,3008,742464000,31181824,110335,54016,7,2,0,0,0,54312,100653
1778298519421,2778558464,51847168,641421312,226340864,765874176,1073737728,725370,30451,6,1266962,46625,0,527884,3008,743004672,31181824,112517,54452,7,2,0,0,0,54386,100653
1778298519711,2775748608,52113408,642666496,226643968,770756608,1073737728,726534,30451,6,1268563,46665,0,528901,3009,744229376,31181824,112989,54532,7,2,0,0,0,54460,100821
1778298520013,2789949440,52129792,643112960,227581952,751439872,1073737728,726798,30451,6,1276217,46853,0,530397,3009,744241664,31181824,114091,54960,7,2,0,0,0,54689,100717
1778298520303,2786598912,52129792,643112960,227581952,758865920,1073737728,726798,30451,6,1278407,46853,0,533209,3009,744241664,31181824,115625,55328,7,2,0,0,0,54689,100717
1778298520594,2783760384,52129792,643129344,227586048,762056704,1073737728,726798,30451,6,1280054,46853,0,533951,3009,744241664,31181824,116151,55496,7,2,0,0,0,54689,100717
1778298520882,2783244288,52142080,643129344,227590144,762568704,1073737728,726798,30891,6,1281662,46853,0,534064,3009,744241664,31632384,116623,55704,7,2,0,0,0,54690,100718
1778298521171,2781696000,52146176,643129344,227590144,764157952,1073737728,726802,31655,6,1283266,46883,0,534448,3009,744245760,32562176,117095,55912,7,2,0,0,0,54690,100718
1778298521463,2780688384,52146176,643153920,227749888,763887616,1073737728,726802,33059,6,1285386,46891,0,535260,3009,744245760,33709056,118441,56356,7,2,0,0,0,54728,100682
1778298521757,2780430336,52162560,643137536,227749888,764039168,1073737728,726822,34235,6,1286999,46897,0,535296,3009,744282624,35625984,118967,56564,7,2,0,0,0,54728,100682
1778298522049,2777075712,52183040,643248128,228003840,767373312,1073737728,726846,34855,6,1288621,46952,0,536185,3009,744393216,35707904,119531,56860,7,2,0,0,0,54791,100641
1778298522342,2792128512,52240384,643584000,228487168,747782144,1073737728,727050,34963,6,1295317,47060,0,536668,3009,744499712,35802112,120555,57068,7,2,0,0,0,54910,100594
1778298522651,2816274432,52240384,643584000,228638720,724226048,1073737728,727050,34963,6,1304827,47095,0,539627,3009,744499712,35802112,121795,57500,7,2,0,0,0,54947,100596
1778298522938,2807148544,52240384,643584000,228642816,724652032,1073737728,727050,34963,6,1310526,47095,0,543789,3009,744499712,35802112,122869,58084,7,2,0,0,0,54947,100596
1778298523246,2805968896,52244480,649981952,228974592,729882624,1073737728,733262,34967,6,1319320,47169,0,551869,3027,754661888,35806208,122987,58164,7,2,0,0,0,55029,102015
1778298523552,2791788544,52244480,662945792,228974592,745910272,1073737728,745806,34967,6,1323171,47171,0,557386,3027,767379968,35806208,124113,58204,7,2,0,0,0,55029,105133
1778298523853,2775789568,52252672,675250176,228978688,770584576,1073737728,758034,34967,6,1326310,47182,0,561248,3028,779897344,35806208,124971,58284,7,2,0,0,0,55031,108158
1778298524156,2751803392,52252672,688005120,229527552,794660864,1073737728,770322,34967,6,1328167,47318,0,564691,3028,792001024,35806208,125089,58324,7,2,0,0,0,55163,111126
1778298524446,2732232704,52260864,699805696,229605376,812482560,1073737728,781762,34967,6,1330306,47330,0,567273,3028,803555840,35806208,126391,58444,7,2,0,0,0,55182,113964
1778298524737,2715717632,52314112,710279168,229744640,829575168,1073737728,792110,34967,6,1331947,47355,0,569277,3034,813570560,35806208,126771,58572,7,2,0,0,0,55216,116502
1778298525037,2686300160,52326400,718012416,229822464,858824704,1073737728,799470,34967,6,1333708,47356,0,574849,3060,821815808,35806208,127087,58788,7,2,0,0,0,55234,118352
1778298525331,2671591424,52326400,728186880,229822464,873684992,1073737728,809242,34967,6,1335475,47390,0,576470,3146,831699456,35806208,127285,58828,7,2,0,0,0,55234,120823
1778298525624,2659233792,52334592,737857536,230109184,885280768,1073737728,818118,34967,6,1337471,47427,0,578129,3240,840624640,35806208,127665,58868,7,2,0,0,0,55306,122969
1778298525926,2643750912,52346880,744886272,230559744,900546560,1073737728,824862,35283,6,1339087,47534,0,580711,3300,846252544,36129792,151967,81064,7,2,0,0,0,55414,124548
1778298526225,2629816320,52346880,750415872,230711296,914137088,1073737728,830310,35283,6,1340696,47600,0,583085,3340,852195840,36129792,155479,83436,7,2,0,0,0,55451,125857
1778298526519,2617458688,52363264,753520640,231018496,923906048,1073737728,833610,35283,6,1342982,47651,0,586007,3369,853858816,36129792,156677,84476,7,2,0,0,0,55526,126616
1778298526828,2603528192,52367360,754176000,232042496,932859904,1073737728,833998,35283,6,1348833,47938,0,594352,3374,854116864,36129792,157689,85268,7,2,0,0,0,55776,126419
1778298527121,2590076928,52371456,754515968,232660992,943558656,1073737728,834102,35283,6,1351046,48042,0,598865,3376,854120960,36129792,158369,85484,7,2,0,0,0,55926,126365
1778298527416,2590076928,52371456,754515968,232660992,943558656,1073737728,834102,35283,6,1352674,48042,0,598865,3376,854120960,36129792,158583,85524,7,2,0,0,0,55926,126365
