ms,topic_name,src_topic,subscribers_count,publisher_count,msg_type,msg_data
1778298513820,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298513820,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298514019,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298514019,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298514219,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298514219,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298514419,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298514419,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298514619,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298514619,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298514819,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298514819,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298515019,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298515019,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298515219,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298515219,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298515419,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298515419,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298515620,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298515620,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298515820,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298515820,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298516020,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298516020,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298516220,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298516220,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298516420,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298516420,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298516619,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778298516619,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778298516819,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
