ms,topic_name,src_topic,subscribers_count,publisher_count,msg_type,msg_data
1778176623735,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176623735,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176623935,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176623935,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176624135,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176624135,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176624335,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176624335,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176624535,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176624535,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176624735,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176624735,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176624935,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176624935,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176625135,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176625135,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176625335,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176625335,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176625535,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176625535,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176625735,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176625735,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176625935,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176625935,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176626135,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176626135,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176626335,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176626335,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176626535,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176626535,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176626735,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176626735,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176626935,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176626935,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176627135,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176627135,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176627335,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176627335,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176627535,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176627535,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176627735,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176627735,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176627935,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176627935,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176628135,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176628135,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176628335,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176628335,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
1778176628535,/parameter_events,ros2_monitor_node,1,1,rcl_interfaces/msg/ParameterEvent,Waiting for data...
1778176628535,/rosout,ros2_monitor_node,1,1,rcl_interfaces/msg/Log,Waiting for data...
