layers.dns.dns.flags_tree.dns.flags.authoritative,layers.dns.dns.response_to,Disk_Write,Active,layers.icmp.udp.udp.checksum,Inactive,layers.dns.dns.flags_tree.dns.flags.recdesired,layers.dns.dns.flags_tree.dns.flags.response,Tcp_Established,Buffers,MemFree,pgfree,layers.rtps.rtps.version,layers.ip.ip.checksum,pgalloc_dma,Net_Received,pgpgin,layers.ip.ip.ttl,layers.rtps.rtps.magic,layers.rtps.rtps.version_tree.rtps.version.minor,publisher_count,pgactivate,Tcp_Close,layers.udp.udp.checksum,src_topic,Tcp_TimeWait,msg_data,SwapFree,nr_inactive_file,nr_active_file,layers.rtps.rtps.version_tree.rtps.version.major,pgmajfault,layers.dns.dns.count.answers,Cached,layers.dns.dns.flags_tree.dns.flags.opcode,layers.udp.udp.stream,layers.icmp.ip.ip.checksum,subscribers_count,layers.dns.dns.count.add_rr,layers.dns.dns.flags_tree.dns.flags.ad,layers.icmp.icmp.checksum,Tcp_Syn,layers.dns.dns.flags_tree.dns.flags.recavail,layers.dns.dns.flags_tree.dns.flags.z,pgfault,layers.dns.dns.count.queries,msg_type,layers.udp.udp.payload,pgdeactivate,layers.ip.ip.ttl_tree._ws.expert._ws.expert.severity,layers.ip.ip.ttl_tree._ws.expert._ws.expert.group,layers.dns.dns.flags_tree.dns.flags.truncated,layers.udp.udp.stream.pnum,pgpgout,layers.dns.dns.flags,layers.rtps.rtps.vendorId,layers.ip.ip.stream,Tcp_Listen,topic_name,Net_Sent,Disk_Read,attack,timestamp
-1.0,-1.0,41962496.0,314503168.0,0,989720576.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2099238.0,1,17497,6.0,331065.0,906414.0,64,1,3.0,4.0,67774.0,0.0,9,6,0.0,0,1073737728.0,126719.0,75899.0,2.0,3373.0,-1.0,837730304.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,853647.0,-1.0,0,4178,0.0,-1.0,-1.0,-1.0,44.0,40947.0,0,1,0,7.0,2,641668.0,928168448.0,1,1767225600.0
-1.0,-1.0,41962496.0,314503168.0,0,989720576.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2099238.0,1,879,6.0,331065.0,906414.0,1,1,3.0,4.0,67774.0,0.0,2,6,0.0,0,1073737728.0,126719.0,75899.0,2.0,3373.0,-1.0,837730304.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,853647.0,-1.0,0,4178,0.0,-1.0,-1.0,-1.0,35.0,40947.0,0,1,1,7.0,2,641668.0,928168448.0,1,1767225600.000196
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17474,-1.0,-1.0,-1.0,64,1,3.0,1.0,-1.0,-1.0,9,4,-1.0,2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,0,3.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,2,3215,-1.0,-1.0,-1.0,-1.0,46.0,-1.0,0,1,0,-1.0,0,-1.0,-1.0,1,1767225600.0003924
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,845,-1.0,-1.0,-1.0,1,1,3.0,1.0,-1.0,-1.0,2,4,-1.0,2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,0,3.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,2,3215,-1.0,-1.0,-1.0,-1.0,35.0,-1.0,0,1,1,-1.0,0,-1.0,-1.0,1,1767225600.0005887
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17460,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,45.0,-1.0,0,1,0,-1.0,1,-1.0,-1.0,0,1767225600.0007849
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,813,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,0,1,1,-1.0,1,-1.0,-1.0,0,1767225600.0009413
-1.0,-1.0,41962496.0,314568704.0,0,989736960.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2126543.0,1,17401,6.0,389163.0,906566.0,64,1,3.0,1.0,67774.0,0.0,9,4,0.0,2,1073737728.0,126736.0,75915.0,2.0,3373.0,-1.0,837898240.0,-1.0,2.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,856838.0,-1.0,2,3215,0.0,-1.0,-1.0,-1.0,47.0,40979.0,0,1,0,7.0,0,714308.0,928324096.0,0,1767225600.0010977
-1.0,-1.0,41962496.0,314568704.0,0,989736960.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2126543.0,1,809,6.0,389163.0,906566.0,1,1,3.0,1.0,67774.0,0.0,2,4,0.0,2,1073737728.0,126736.0,75915.0,2.0,3373.0,-1.0,837898240.0,-1.0,3.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,856838.0,-1.0,2,3215,0.0,-1.0,-1.0,-1.0,36.0,40979.0,0,1,1,7.0,0,714308.0,928324096.0,0,1767225600.001254
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17387,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,46.0,-1.0,0,1,0,-1.0,1,-1.0,-1.0,0,1767225600.0014105
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,741,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,0,1,1,-1.0,1,-1.0,-1.0,0,1767225600.001567
-1.0,-1.0,42036224.0,314638336.0,0,989720576.0,-1.0,-1.0,2.0,52944896.0,2453929984.0,2144951.0,1,17343,6.0,394777.0,906598.0,64,1,3.0,4.0,67784.0,0.0,9,6,0.0,1,1073737728.0,126737.0,75932.0,2.0,3373.0,-1.0,837943296.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,859237.0,-1.0,1,3215,0.0,-1.0,-1.0,-1.0,48.0,41051.0,0,1,0,7.0,1,723552.0,928356864.0,0,1767225600.0017233
-1.0,-1.0,42036224.0,314638336.0,0,989720576.0,-1.0,-1.0,2.0,52944896.0,2453929984.0,2144951.0,1,700,6.0,394777.0,906598.0,1,1,3.0,4.0,67784.0,0.0,2,6,0.0,1,1073737728.0,126737.0,75932.0,2.0,3373.0,-1.0,837943296.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,859237.0,-1.0,1,3215,0.0,-1.0,-1.0,-1.0,37.0,41051.0,0,1,1,7.0,1,723552.0,928356864.0,0,1767225600.0018797
-1.0,-1.0,42036224.0,314638336.0,0,989831168.0,-1.0,-1.0,2.0,52944896.0,2453413888.0,2155577.0,1,17320,6.0,398937.0,906598.0,64,1,3.0,1.0,67784.0,0.0,9,4,0.0,2,1073737728.0,126739.0,75932.0,2.0,3373.0,-1.0,837947392.0,-1.0,0.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,860032.0,-1.0,2,4178,0.0,-1.0,-1.0,-1.0,47.0,41051.0,0,1,0,7.0,0,730488.0,928356864.0,0,1767225600.0020363
