layers.dns.dns.flags_tree.dns.flags.authoritative,layers.dns.dns.response_to,Disk_Write,Active,layers.icmp.udp.udp.checksum,Inactive,layers.dns.dns.flags_tree.dns.flags.recdesired,layers.dns.dns.flags_tree.dns.flags.response,Tcp_Established,Buffers,MemFree,pgfree,layers.rtps.rtps.version,layers.ip.ip.checksum,pgalloc_dma,Net_Received,pgpgin,layers.ip.ip.ttl,layers.rtps.rtps.magic,layers.rtps.rtps.version_tree.rtps.version.minor,publisher_count,pgactivate,Tcp_Close,layers.udp.udp.checksum,src_topic,Tcp_TimeWait,msg_data,SwapFree,nr_inactive_file,nr_active_file,layers.rtps.rtps.version_tree.rtps.version.major,pgmajfault,layers.dns.dns.count.answers,Cached,layers.dns.dns.flags_tree.dns.flags.opcode,layers.udp.udp.stream,layers.icmp.ip.ip.checksum,subscribers_count,layers.dns.dns.count.add_rr,layers.dns.dns.flags_tree.dns.flags.ad,layers.icmp.icmp.checksum,Tcp_Syn,layers.dns.dns.flags_tree.dns.flags.recavail,layers.dns.dns.flags_tree.dns.flags.z,pgfault,layers.dns.dns.count.queries,msg_type,layers.udp.udp.payload,pgdeactivate,layers.ip.ip.ttl_tree._ws.expert._ws.expert.severity,layers.ip.ip.ttl_tree._ws.expert._ws.expert.group,layers.dns.dns.flags_tree.dns.flags.truncated,layers.udp.udp.stream.pnum,pgpgout,layers.dns.dns.flags,layers.rtps.rtps.vendorId,layers.ip.ip.stream,Tcp_Listen,topic_name,Net_Sent,Disk_Read,attack,timestamp
-1.0,-1.0,41962496.0,314503168.0,0,989720576.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2099238.0,1,17497,6.0,331065.0,906414.0,64,1,3.0,4.0,67774.0,0.0,9,6,0.0,0,1073737728.0,126719.0,75899.0,2.0,3373.0,-1.0,837730304.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,853647.0,-1.0,0,4178,0.0,-1.0,-1.0,-1.0,44.0,40947.0,0,1,0,7.0,2,641668.0,928168448.0,1,1778585311.404418
-1.0,-1.0,41962496.0,314503168.0,0,989720576.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2099238.0,1,879,6.0,331065.0,906414.0,1,1,3.0,4.0,67774.0,0.0,2,6,0.0,0,1073737728.0,126719.0,75899.0,2.0,3373.0,-1.0,837730304.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,853647.0,-1.0,0,4178,0.0,-1.0,-1.0,-1.0,35.0,40947.0,0,1,1,7.0,2,641668.0,928168448.0,1,1778585311.4046142
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17474,-1.0,-1.0,-1.0,64,1,3.0,1.0,-1.0,-1.0,9,4,-1.0,2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,0,3.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,2,3215,-1.0,-1.0,-1.0,-1.0,46.0,-1.0,0,1,0,-1.0,0,-1.0,-1.0,1,1778585312.701625
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,845,-1.0,-1.0,-1.0,1,1,3.0,1.0,-1.0,-1.0,2,4,-1.0,2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,0,3.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,2,3215,-1.0,-1.0,-1.0,-1.0,35.0,-1.0,0,1,1,-1.0,0,-1.0,-1.0,1,1778585312.7018137
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17460,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,45.0,-1.0,0,1,0,-1.0,1,-1.0,-1.0,0,1778585314.4045088
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,813,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,0,1,1,-1.0,1,-1.0,-1.0,0,1778585314.4046652
-1.0,-1.0,41962496.0,314568704.0,0,989736960.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2126543.0,1,17401,6.0,389163.0,906566.0,64,1,3.0,1.0,67774.0,0.0,9,4,0.0,2,1073737728.0,126736.0,75915.0,2.0,3373.0,-1.0,837898240.0,-1.0,2.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,856838.0,-1.0,2,3215,0.0,-1.0,-1.0,-1.0,47.0,40979.0,0,1,0,7.0,0,714308.0,928324096.0,0,1778585315.7017362
-1.0,-1.0,41962496.0,314568704.0,0,989736960.0,-1.0,-1.0,2.0,52936704.0,2455478272.0,2126543.0,1,809,6.0,389163.0,906566.0,1,1,3.0,1.0,67774.0,0.0,2,4,0.0,2,1073737728.0,126736.0,75915.0,2.0,3373.0,-1.0,837898240.0,-1.0,3.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,856838.0,-1.0,2,3215,0.0,-1.0,-1.0,-1.0,36.0,40979.0,0,1,1,7.0,0,714308.0,928324096.0,0,1778585315.7019196
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17387,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,46.0,-1.0,0,1,0,-1.0,1,-1.0,-1.0,0,1778585317.4046044
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,741,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,4178,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,0,1,1,-1.0,1,-1.0,-1.0,0,1778585317.4047582
-1.0,-1.0,42036224.0,314638336.0,0,989720576.0,-1.0,-1.0,2.0,52944896.0,2453929984.0,2144951.0,1,17343,6.0,394777.0,906598.0,64,1,3.0,4.0,67784.0,0.0,9,6,0.0,1,1073737728.0,126737.0,75932.0,2.0,3373.0,-1.0,837943296.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,859237.0,-1.0,1,3215,0.0,-1.0,-1.0,-1.0,48.0,41051.0,0,1,0,7.0,1,723552.0,928356864.0,0,1778585318.7018268
-1.0,-1.0,42036224.0,314638336.0,0,989720576.0,-1.0,-1.0,2.0,52944896.0,2453929984.0,2144951.0,1,700,6.0,394777.0,906598.0,1,1,3.0,4.0,67784.0,0.0,2,6,0.0,1,1073737728.0,126737.0,75932.0,2.0,3373.0,-1.0,837943296.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,859237.0,-1.0,1,3215,0.0,-1.0,-1.0,-1.0,37.0,41051.0,0,1,1,7.0,1,723552.0,928356864.0,0,1778585318.702108
-1.0,-1.0,42036224.0,314638336.0,0,989831168.0,-1.0,-1.0,2.0,52944896.0,2453413888.0,2155577.0,1,17320,6.0,398937.0,906598.0,64,1,3.0,1.0,67784.0,0.0,9,4,0.0,2,1073737728.0,126739.0,75932.0,2.0,3373.0,-1.0,837947392.0,-1.0,0.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,860032.0,-1.0,2,4178,0.0,-1.0,-1.0,-1.0,47.0,41051.0,0,1,0,7.0,0,730488.0,928356864.0,0,1778585320.4047277
-1.0,-1.0,42036224.0,314638336.0,0,989831168.0,-1.0,-1.0,2.0,52944896.0,2453413888.0,2155577.0,1,685,6.0,398937.0,906598.0,1,1,3.0,1.0,67784.0,0.0,2,4,0.0,2,1073737728.0,126739.0,75932.0,2.0,3373.0,-1.0,837947392.0,-1.0,1.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,860032.0,-1.0,2,4178,0.0,-1.0,-1.0,-1.0,38.0,41051.0,0,1,1,7.0,0,730488.0,928356864.0,0,1778585320.4049094
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17303,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,3215,-1.0,-1.0,-1.0,-1.0,49.0,-1.0,0,1,0,-1.0,1,-1.0,-1.0,0,1778585321.701917
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,675,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,1,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,1,3215,-1.0,-1.0,-1.0,-1.0,38.0,-1.0,0,1,1,-1.0,1,-1.0,-1.0,0,1778585321.70209
-1.0,-1.0,42105856.0,314634240.0,0,989720576.0,-1.0,-1.0,2.0,52953088.0,2453422080.0,2173973.0,1,17251,6.0,404817.0,906598.0,64,1,3.0,4.0,67784.0,0.0,9,6,0.0,0,1073737728.0,126740.0,75932.0,2.0,3373.0,-1.0,837951488.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,862430.0,-1.0,0,4178,0.0,-1.0,-1.0,-1.0,48.0,41119.0,0,1,0,7.0,2,740092.0,928356864.0,0,1778585323.4048142
-1.0,-1.0,42105856.0,314634240.0,0,989720576.0,-1.0,-1.0,2.0,52953088.0,2453422080.0,2173973.0,1,646,6.0,404817.0,906598.0,1,1,3.0,4.0,67784.0,0.0,2,6,0.0,0,1073737728.0,126740.0,75932.0,2.0,3373.0,-1.0,837951488.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,862430.0,-1.0,0,4178,0.0,-1.0,-1.0,-1.0,39.0,41119.0,0,1,1,7.0,2,740092.0,928356864.0,0,1778585323.4050243
-1.0,-1.0,42105856.0,314662912.0,0,989941760.0,-1.0,-1.0,2.0,52953088.0,2453721088.0,2183426.0,1,17229,6.0,455485.0,906598.0,64,1,3.0,4.0,67788.0,0.0,9,6,0.0,0,1073737728.0,126738.0,75938.0,2.0,3373.0,-1.0,837967872.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,864027.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,50.0,41119.0,0,1,0,7.0,2,801450.0,928356864.0,1,1778585324.7020187
-1.0,-1.0,42105856.0,314662912.0,0,989941760.0,-1.0,-1.0,2.0,52953088.0,2453721088.0,2183426.0,1,615,6.0,455485.0,906598.0,1,1,3.0,4.0,67788.0,0.0,2,6,0.0,0,1073737728.0,126738.0,75938.0,2.0,3373.0,-1.0,837967872.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,864027.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,39.0,41119.0,0,1,1,7.0,2,801450.0,928356864.0,1,1778585324.7022338
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17176,-1.0,-1.0,-1.0,64,1,3.0,1.0,-1.0,-1.0,9,4,-1.0,2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0,3.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,2,4178,-1.0,-1.0,-1.0,-1.0,49.0,-1.0,0,1,0,-1.0,0,-1.0,-1.0,0,1778585326.4049234
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,534,-1.0,-1.0,-1.0,1,1,3.0,1.0,-1.0,-1.0,2,4,-1.0,2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0,3.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,2,4178,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,0,1,1,-1.0,0,-1.0,-1.0,0,1778585326.4052029
-1.0,-1.0,42167296.0,314662912.0,0,989827072.0,-1.0,-1.0,2.0,52961280.0,2453733376.0,2201298.0,1,17135,6.0,462427.0,906598.0,64,1,3.0,4.0,67788.0,0.0,9,6,0.0,0,1073737728.0,126741.0,75938.0,2.0,3373.0,-1.0,837976064.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,865627.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,51.0,41179.0,0,1,0,7.0,2,811504.0,928356864.0,0,1778585327.7021368
-1.0,-1.0,42167296.0,314662912.0,0,989827072.0,-1.0,-1.0,2.0,52961280.0,2453733376.0,2201298.0,1,507,6.0,462427.0,906598.0,1,1,3.0,4.0,67788.0,0.0,2,6,0.0,0,1073737728.0,126741.0,75938.0,2.0,3373.0,-1.0,837976064.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,865627.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,40.0,41179.0,0,1,1,7.0,2,811504.0,928356864.0,0,1778585327.702529
-1.0,-1.0,42167296.0,314699776.0,0,989872128.0,-1.0,-1.0,2.0,52961280.0,2454069248.0,2212437.0,1,17131,6.0,466331.0,906634.0,64,1,3.0,4.0,67788.0,0.0,9,6,0.0,1,1073737728.0,126750.0,75947.0,2.0,3373.0,-1.0,838017024.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,867221.0,-1.0,1,4178,0.0,-1.0,-1.0,-1.0,50.0,41179.0,0,1,0,7.0,1,819480.0,928393728.0,0,1778585329.4051063
-1.0,-1.0,42167296.0,314699776.0,0,989872128.0,-1.0,-1.0,2.0,52961280.0,2454069248.0,2212437.0,1,464,6.0,466331.0,906634.0,1,1,3.0,4.0,67788.0,0.0,2,6,0.0,1,1073737728.0,126750.0,75947.0,2.0,3373.0,-1.0,838017024.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,867221.0,-1.0,1,4178,0.0,-1.0,-1.0,-1.0,41.0,41179.0,0,1,1,7.0,1,819480.0,928393728.0,0,1778585329.4053557
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,17100,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3215,-1.0,-1.0,-1.0,-1.0,52.0,-1.0,0,1,0,-1.0,2,-1.0,-1.0,0,1778585330.7022295
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,453,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,3215,-1.0,-1.0,-1.0,-1.0,41.0,-1.0,0,1,1,-1.0,2,-1.0,-1.0,0,1778585330.7024486
-1.0,-1.0,42241024.0,314736640.0,0,989822976.0,-1.0,-1.0,2.0,52969472.0,2454847488.0,2230827.0,1,17051,6.0,471983.0,906634.0,64,1,3.0,1.0,67796.0,0.0,9,4,0.0,2,1073737728.0,126743.0,75955.0,2.0,3373.0,-1.0,838017024.0,-1.0,0.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,869614.0,-1.0,2,4178,0.0,-1.0,-1.0,-1.0,51.0,41251.0,0,1,0,7.0,0,828794.0,928393728.0,0,1778585332.405151
-1.0,-1.0,42241024.0,314736640.0,0,989822976.0,-1.0,-1.0,2.0,52969472.0,2454847488.0,2230827.0,1,435,6.0,471983.0,906634.0,1,1,3.0,1.0,67796.0,0.0,2,4,0.0,2,1073737728.0,126743.0,75955.0,2.0,3373.0,-1.0,838017024.0,-1.0,1.0,0,3.0,-1.0,-1.0,0,0.0,-1.0,-1.0,869614.0,-1.0,2,4178,0.0,-1.0,-1.0,-1.0,42.0,41251.0,0,1,1,7.0,0,828794.0,928393728.0,0,1778585332.4053698
-1.0,-1.0,42241024.0,314740736.0,0,989888512.0,-1.0,-1.0,2.0,52969472.0,2454867968.0,2239755.0,1,17019,6.0,476339.0,906634.0,64,1,3.0,4.0,67796.0,0.0,9,6,0.0,0,1073737728.0,126745.0,75957.0,2.0,3373.0,-1.0,838029312.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,870410.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,53.0,41251.0,0,1,0,7.0,2,835082.0,928393728.0,0,1778585333.7023242
-1.0,-1.0,42241024.0,314740736.0,0,989888512.0,-1.0,-1.0,2.0,52969472.0,2454867968.0,2239755.0,1,415,6.0,476339.0,906634.0,1,1,3.0,4.0,67796.0,0.0,2,6,0.0,0,1073737728.0,126745.0,75957.0,2.0,3373.0,-1.0,838029312.0,-1.0,3.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,870410.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,42.0,41251.0,0,1,1,7.0,2,835082.0,928393728.0,0,1778585333.7024803
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,16984,-1.0,-1.0,-1.0,64,1,3.0,4.0,-1.0,-1.0,9,6,-1.0,0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4178,-1.0,-1.0,-1.0,-1.0,52.0,-1.0,0,1,0,-1.0,2,-1.0,-1.0,0,1778585335.4052474
-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,397,-1.0,-1.0,-1.0,1,1,3.0,4.0,-1.0,-1.0,2,6,-1.0,0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,0,2.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0,4178,-1.0,-1.0,-1.0,-1.0,43.0,-1.0,0,1,1,-1.0,2,-1.0,-1.0,0,1778585335.4054804
-1.0,-1.0,42470400.0,314740736.0,0,989884416.0,-1.0,-1.0,2.0,52969472.0,2454867968.0,2258141.0,1,16961,6.0,481095.0,906634.0,64,1,3.0,4.0,67796.0,0.0,9,6,0.0,0,1073737728.0,126747.0,75957.0,2.0,3373.0,-1.0,838033408.0,-1.0,2.0,0,2.0,-1.0,-1.0,0,0.0,-1.0,-1.0,872805.0,-1.0,0,3215,0.0,-1.0,-1.0,-1.0,54.0,41475.0,0,1,0,7.0,2,844408.0,928393728.0,1,1778585336.7024262
