timestamp,layers.ip.ip.dsfield,layers.ip.ip.dsfield_tree.ip.dsfield.dscp,layers.ip.ip.flags,layers.ip.ip.flags_tree.ip.flags.df,layers.ip.ip.ttl,layers.ip.ip.proto,layers.ip.ip.checksum,layers.ip.ip.stream,layers.udp.udp.checksum,layers.udp.udp.checksum.status,layers.udp.udp.stream,layers.udp.udp.stream.pnum,layers.udp.udp.payload,layers.rtps.rtps.magic,layers.rtps.rtps.version,layers.rtps.rtps.version_tree.rtps.version.major,layers.rtps.rtps.version_tree.rtps.version.minor,layers.rtps.rtps.vendorId,layers.dns.dns.flags,layers.dns.dns.flags_tree.dns.flags.response,layers.dns.dns.flags_tree.dns.flags.opcode,layers.dns.dns.flags_tree.dns.flags.truncated,layers.dns.dns.flags_tree.dns.flags.recdesired,layers.dns.dns.flags_tree.dns.flags.z,layers.dns.dns.flags_tree.dns.flags.ad,layers.dns.dns.flags_tree.dns.flags.checkdisable,layers.dns.dns.count.queries,layers.dns.dns.count.answers,layers.dns.dns.count.auth_rr,layers.dns.dns.count.add_rr,layers.ip.ip.ttl_tree._ws.expert._ws.expert.message,layers.ip.ip.ttl_tree._ws.expert._ws.expert.severity,layers.ip.ip.ttl_tree._ws.expert._ws.expert.group,layers.dns.dns.flags_tree.dns.flags.authoritative,layers.dns.dns.flags_tree.dns.flags.recavail,layers.dns.dns.flags_tree.dns.flags.authenticated,layers.dns.dns.flags_tree.dns.flags.rcode,layers.dns.dns.response_to,layers.mdns.dns.flags,layers.mdns.dns.flags_tree.dns.flags.response,layers.mdns.dns.flags_tree.dns.flags.opcode,layers.mdns.dns.flags_tree.dns.flags.truncated,layers.mdns.dns.flags_tree.dns.flags.recdesired,layers.mdns.dns.flags_tree.dns.flags.z,layers.mdns.dns.flags_tree.dns.flags.checkdisable,layers.mdns.dns.count.queries,layers.mdns.dns.count.answers,layers.mdns.dns.count.auth_rr,layers.mdns.dns.count.add_rr,layers.icmp.icmp.type,layers.icmp.icmp.type_tree._ws.expert._ws.expert.message,layers.icmp.icmp.type_tree._ws.expert._ws.expert.severity,layers.icmp.icmp.type_tree._ws.expert._ws.expert.group,layers.icmp.icmp.code,layers.icmp.icmp.checksum,layers.icmp.icmp.checksum.status,layers.icmp.icmp.unused,layers.icmp.ip.ip.version,layers.icmp.ip.ip.dsfield,layers.icmp.ip.ip.dsfield_tree.ip.dsfield.dscp,layers.icmp.ip.ip.dsfield_tree.ip.dsfield.ecn,layers.icmp.ip.ip.flags,layers.icmp.ip.ip.flags_tree.ip.flags.rb,layers.icmp.ip.ip.flags_tree.ip.flags.df,layers.icmp.ip.ip.flags_tree.ip.flags.mf,layers.icmp.ip.ip.frag_offset,layers.icmp.ip.ip.ttl,layers.icmp.ip.ip.proto,layers.icmp.ip.ip.checksum,layers.icmp.ip.ip.checksum.status,layers.icmp.ip.ip.stream,layers.icmp.udp.udp.checksum,layers.icmp.udp.udp.checksum.status,layers.icmp.udp.udp.stream,layers.icmp.udp.udp.payload,layers.icmp.rtps.rtps.magic,layers.icmp.rtps.rtps.version,layers.icmp.rtps.rtps.version_tree.rtps.version.major,layers.icmp.rtps.rtps.version_tree.rtps.version.minor,layers.icmp.rtps.rtps.vendorId,layers.icmp.ntp.ntp.flags,layers.icmp.ntp.ntp.flags_tree.ntp.flags.li,layers.icmp.ntp.ntp.flags_tree.ntp.flags.vn,layers.icmp.ntp.ntp.flags_tree.ntp.flags.mode,layers.icmp.ntp.ntp.stratum,layers.icmp.ntp.ntp.ppoll,layers.icmp.ntp.ntp.precision,layers.icmp.ntp.ntp.rootdelay,layers.icmp.ntp.ntp.rootdispersion,layers.icmp.ntp.ntp.org,layers.icmp.ntp.ntp.rec,layers.icmp.ntp.ntp.xmt,layers.icmp.dns.dns.flags,layers.icmp.dns.dns.flags_tree.dns.flags.response,layers.icmp.dns.dns.flags_tree.dns.flags.opcode,layers.icmp.dns.dns.flags_tree.dns.flags.truncated,layers.icmp.dns.dns.flags_tree.dns.flags.recdesired,layers.icmp.dns.dns.flags_tree.dns.flags.z,layers.icmp.dns.dns.flags_tree.dns.flags.checkdisable,layers.icmp.dns.dns.count.queries,layers.icmp.dns.dns.count.answers,layers.icmp.dns.dns.count.auth_rr,layers.icmp.dns.dns.count.add_rr,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file,topic_name,src_topic,subscribers_count,publisher_count,msg_type,msg_data,attack
1778585311.404418,0x00,0,0x02,1,64,17,0xeec2,0,0xff33,2.0,0.0,44.0,52:54:50:53:02:03:01:0f:01:0f:db:20:c9:0b:4b:68:00:00:00:00:09:01:08:00:75:0e:03:6a:1f:b2:08:e6:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:c9:0b:4b:68:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f4:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f5:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f5:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455478272.0,52936704.0,837730304.0,314503168.0,989720576.0,1073737728.0,906414.0,40947.0,6.0,2099238.0,67774.0,0.0,853647.0,3373.0,928168448.0,41962496.0,641668.0,331065.0,7.0,2.0,0.0,0.0,0.0,75899.0,126719.0,/rosout,minimal_publisher|ros2_monitor_node|ros2_monitor_node|minimal_subscriber,2.0,4.0,rcl_interfaces/msg/Log,rcl_interfaces.msg.Log(stamp=b,nmap discovery
1778585311.4046142,0x00,0,0x02,1,1,17,0x147c,1,0x7033,2.0,1.0,35.0,52:54:50:53:02:03:01:0f:01:0f:db:20:c9:0b:4b:68:00:00:00:00:09:01:08:00:75:0e:03:6a:1f:b2:08:e6:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:c9:0b:4b:68:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f4:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f5:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f5:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455478272.0,52936704.0,837730304.0,314503168.0,989720576.0,1073737728.0,906414.0,40947.0,6.0,2099238.0,67774.0,0.0,853647.0,3373.0,928168448.0,41962496.0,641668.0,331065.0,7.0,2.0,0.0,0.0,0.0,75899.0,126719.0,/rosout,minimal_publisher|ros2_monitor_node|ros2_monitor_node|minimal_subscriber,2.0,4.0,rcl_interfaces/msg/Log,rcl_interfaces.msg.Log(stamp=b,nmap discovery
1778585312.701625,0x00,0,0x02,1,64,17,0xee5c,0,0xff33,2.0,2.0,46.0,52:54:50:53:02:03:01:0f:01:0f:db:20:5f:0b:aa:14:00:00:00:00:09:01:08:00:6b:0e:03:6a:fe:f3:05:32:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:5f:0b:aa:14:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f2:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f3:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f3:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ouo,minimal_publisher,3.0,1.0,std_msgs/msg/String,std_msgs.msg.String(data='Hell,nmap discovery
1778585312.7018137,0x00,0,0x02,1,1,17,0x13db,1,0x7033,2.0,3.0,35.0,52:54:50:53:02:03:01:0f:01:0f:db:20:5f:0b:aa:14:00:00:00:00:09:01:08:00:6b:0e:03:6a:fe:f3:05:32:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:5f:0b:aa:14:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f2:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f3:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f3:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ouo,minimal_publisher,3.0,1.0,std_msgs/msg/String,std_msgs.msg.String(data='Hell,nmap discovery
1778585314.4045088,0x00,0,0x02,1,64,17,0xee05,0,0xff33,2.0,0.0,45.0,52:54:50:53:02:03:01:0f:01:0f:db:20:c9:0b:4b:68:00:00:00:00:09:01:08:00:75:0e:03:6a:1f:b2:08:e6:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:c9:0b:4b:68:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f4:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f5:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f5:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/parameter_events,minimal_publisher|ros2_monitor_node|ros2_monitor_node|minimal_subscriber,2.0,4.0,rcl_interfaces/msg/ParameterEvent,rcl_interfaces.msg.ParameterEv,observe
1778585314.4046652,0x00,0,0x02,1,1,17,0x1310,1,0x7033,2.0,1.0,36.0,52:54:50:53:02:03:01:0f:01:0f:db:20:c9:0b:4b:68:00:00:00:00:09:01:08:00:75:0e:03:6a:1f:b2:08:e6:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:c9:0b:4b:68:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f4:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f5:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f5:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/parameter_events,minimal_publisher|ros2_monitor_node|ros2_monitor_node|minimal_subscriber,2.0,4.0,rcl_interfaces/msg/ParameterEvent,rcl_interfaces.msg.ParameterEv,observe
1778585315.7017362,0x00,0,0x02,1,64,17,0xeccc,0,0xff33,2.0,2.0,47.0,52:54:50:53:02:03:01:0f:01:0f:db:20:5f:0b:aa:14:00:00:00:00:09:01:08:00:6b:0e:03:6a:fe:f3:05:32:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:5f:0b:aa:14:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f2:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f3:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f3:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455478272.0,52936704.0,837898240.0,314568704.0,989736960.0,1073737728.0,906566.0,40979.0,6.0,2126543.0,67774.0,0.0,856838.0,3373.0,928324096.0,41962496.0,714308.0,389163.0,7.0,2.0,0.0,0.0,0.0,75915.0,126736.0,/ouo,minimal_publisher,3.0,1.0,std_msgs/msg/String,std_msgs.msg.String(data='Hell,observe
1778585315.7019196,0x00,0,0x02,1,1,17,0x12dc,1,0x7033,2.0,3.0,36.0,52:54:50:53:02:03:01:0f:01:0f:db:20:5f:0b:aa:14:00:00:00:00:09:01:08:00:6b:0e:03:6a:fe:f3:05:32:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:5f:0b:aa:14:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f2:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f3:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f3:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455478272.0,52936704.0,837898240.0,314568704.0,989736960.0,1073737728.0,906566.0,40979.0,6.0,2126543.0,67774.0,0.0,856838.0,3373.0,928324096.0,41962496.0,714308.0,389163.0,7.0,2.0,0.0,0.0,0.0,75915.0,126736.0,/ouo,minimal_publisher,3.0,1.0,std_msgs/msg/String,std_msgs.msg.String(data='Hell,observe
1778585317.4046044,0x00,0,0x02,1,64,17,0xec7a,0,0xff33,2.0,0.0,46.0,52:54:50:53:02:03:01:0f:01:0f:db:20:c9:0b:4b:68:00:00:00:00:09:01:08:00:75:0e:03:6a:1f:b2:08:e6:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:c9:0b:4b:68:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f4:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f5:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f5:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/parameter_events,minimal_publisher|ros2_monitor_node|ros2_monitor_node|minimal_subscriber,2.0,4.0,rcl_interfaces/msg/ParameterEvent,rcl_interfaces.msg.ParameterEv,observe
1778585317.4047582,0x00,0,0x02,1,1,17,0x1152,1,0x7033,2.0,1.0,37.0,52:54:50:53:02:03:01:0f:01:0f:db:20:c9:0b:4b:68:00:00:00:00:09:01:08:00:75:0e:03:6a:1f:b2:08:e6:15:05:f4:00:00:00:10:00:00:01:00:c7:00:01:00:c2:00:00:00:00:01:00:00:00:00:03:00:00:15:00:04:00:02:03:00:00:16:00:04:00:01:0f:00:00:50:00:10:00:01:0f:db:20:c9:0b:4b:68:00:00:00:00:00:00:01:c1:32:00:18:00:01:00:00:00:f4:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:31:00:18:00:10:00:00:00:f5:1c:00:00:55:db:20:00:00:00:00:00:00:00:00:00:00:00:00:00:31:00:18:00:01:00:00:00:f5:1c:00:00:00:00:00:00:00:00:00:00:00:00:00:00:c0:a8:7d:65:02:00:08:00:14:00:00:00:00:00:00:00:58:00:04:00:3f:0c:0f:00:62:00:08:00:02:00:00:00:2f:00:00:00:2c:00:10:00:0b:00:00:00:65:6e:63:6c:61:76:65:3d:2f:3b:00:00:59:00:28:00:01:00:00:00:11:00:00:00:50:41:52:54:49:43:49:50:41:4e:54:5f:54:59:50:45:00:00:00:00:07:00:00:00:53:49:4d:50:4c:45:00:00:01:00:00:00,RTPS,0x0203,2.0,3.0,0x010f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/parameter_events,minimal_publisher|ros2_monitor_node|ros2_monitor_node|minimal_subscriber,2.0,4.0,rcl_interfaces/msg/ParameterEvent,rcl_interfaces.msg.ParameterEv,observe
