timestamp,attack,event
Fri May 08 01:57:50 CEST 2026,campaign,start
Fri May 08 01:57:50 CEST 2026,nmap discovery,start
Fri May 08 01:57:52 CEST 2026,nmap discovery,end
Fri May 08 01:57:52 CEST 2026,nmap discovery,start
Fri May 08 01:57:54 CEST 2026,nmap discovery,end
Fri May 08 01:57:54 CEST 2026,restart madness and flush output signal,sent
Fri May 08 01:57:54 CEST 2026,nmap port scanning,start
Fri May 08 01:59:46 CEST 2026,nmap port scanning,end
Fri May 08 01:59:46 CEST 2026,nmap port scanning,start
Fri May 08 02:01:34 CEST 2026,nmap port scanning,end
Fri May 08 02:01:34 CEST 2026,restart madness and flush output signal,sent
Fri May 08 02:01:34 CEST 2026,ros2 reconnaissance,start
Fri May 08 02:01:44 CEST 2026,ros2 reconnaissance,end
Fri May 08 02:01:44 CEST 2026,ros2 reconnaissance,start
Fri May 08 02:01:54 CEST 2026,ros2 reconnaissance,end
Fri May 08 02:01:54 CEST 2026,restart madness and flush output signal,sent
Fri May 08 02:03:24 CEST 2026,nmap SYN flood,start
Fri May 08 02:03:55 CEST 2026,nmap SYN flood,end
Fri May 08 02:05:25 CEST 2026,nmap SYN flood,start
Fri May 08 02:05:56 CEST 2026,nmap SYN flood,end
Fri May 08 02:05:56 CEST 2026,restart madness and flush output signal,sent
Fri May 08 02:07:26 CEST 2026,ros2 reflection,start
Fri May 08 02:07:26 CEST 2026,ros2 reflection,end
Fri May 08 02:08:56 CEST 2026,ros2 reflection,start
Fri May 08 02:08:56 CEST 2026,ros2 reflection,end
Fri May 08 02:08:56 CEST 2026,restart madness and flush output signal,sent
Fri May 08 02:10:26 CEST 2026,ros2 node crashing,start
Fri May 08 02:10:27 CEST 2026,ros2 node crashing,end
Fri May 08 02:11:57 CEST 2026,ros2 node crashing,start
Fri May 08 02:11:57 CEST 2026,ros2 node crashing,end
Fri May 08 02:11:57 CEST 2026,restart madness and flush output signal,sent
Fri May 08 02:13:27 CEST 2026,metasploit SYN flood,start
Fri May 08 02:13:32 CEST 2026,metasploit SYN flood,end
Fri May 08 02:15:02 CEST 2026,metasploit SYN flood,start
Fri May 08 02:15:08 CEST 2026,metasploit SYN flood,end
Fri May 08 02:15:08 CEST 2026,restart madness and flush output signal,sent
Fri May 08 02:15:08 CEST 2026,campaign,end
